"","entrez_id","gene","chromosome","gene_name","mouse_homologenes","ensembl_gene_id"
"20501",319145,"RPL21P8","14","ribosomal protein L21 pseudogene 8",NA,NA
"20502",326105,"UBE2CP1","14","ubiquitin-conjugating enzyme E2C pseudogene 1",NA,NA
"20503",326106,"TUBBP3","14","tubulin, beta pseudogene 3",NA,NA
"20504",326107,"STK16P1","14","serine/threonine kinase 16 pseudogene 1",NA,NA
"20505",326268,"ABI1P1","14","abl-interactor 1 pseudogene 1",NA,NA
"20506",326269,"SRMP2","14","spermidine synthase pseudogene 2",NA,NA
"20507",326272,"SNRPGP1","14","small nuclear ribonucleoprotein polypeptide G pseudogene 1",NA,NA
"20508",326275,"RPL12P7","14","ribosomal protein L12 pseudogene 7",NA,NA
"20509",326276,"SF3B4P1","14","splicing factor 3b, subunit 4 pseudogene 1",NA,NA
"20510",326277,"SETP2","14","SET pseudogene 2",NA,NA
"20511",326278,"RPL13AP2","14","ribosomal protein L13a pseudogene 2",NA,NA
"20512",326279,"RPL15P2","14","ribosomal protein L15 pseudogene 2",NA,NA
"20513",326286,"RPL17P3","14","ribosomal protein L17 pseudogene 3",NA,NA
"20514",326288,"RPL17P4","14","ribosomal protein L17 pseudogene 4",NA,NA
"20515",326289,"RPL18AP1","14","ribosomal protein L18a pseudogene 1",NA,NA
"20516",326291,"RPL18P1","14","ribosomal protein L18 pseudogene 1",NA,NA
"20517",326292,"RPL22P2","14","ribosomal protein L22 pseudogene 2",NA,NA
"20518",326293,"RPL23AP10","14","ribosomal protein L23a pseudogene 10",NA,NA
"20519",326294,"RPL23AP11","14","ribosomal protein L23a pseudogene 11",NA,NA
"20520",326295,"EIF4EBP1P1","14","eukaryotic translation initiation factor 4E binding protein 1 pseudogene 1",NA,NA
"20521",326296,"HSBP1P1","14","heat shock factor binding protein 1 pseudogene 1",NA,NA
"20522",326297,"RPL26P2","14","ribosomal protein L26 pseudogene 2",NA,NA
"20523",326298,"RPL26P3","14","ribosomal protein L26 pseudogene 3",NA,NA
"20524",326299,"RPL27P1","14","ribosomal protein L27 pseudogene 1",NA,NA
"20525",326300,"HSPE1P2","14","heat shock 10kDa protein 1 pseudogene 2",NA,NA
"20526",326301,"RPL36AP2","14","ribosomal protein L36a pseudogene 2",NA,NA
"20527",326302,"NEK2P1","14","NEK2 pseudogene 1",NA,NA
"20528",326303,"RPL36P3","14","ribosomal protein L36 pseudogene 3",NA,NA
"20529",326304,"RPL36AP4","14","ribosomal protein L36a pseudogene 4",NA,NA
"20530",326305,"MOCS3P1","14","molybdenum cofactor synthesis 3 pseudogene 1",NA,NA
"20531",326306,"RPL39P2","14","ribosomal protein L39 pseudogene 2",NA,NA
"20532",326307,"RPL3P4","14","ribosomal protein L3 pseudogene 4",NA,NA
"20533",326308,"RPL41P4","14","ribosomal protein L41 pseudogene 4",NA,NA
"20534",326309,"RPL7AP5","14","ribosomal protein L7a pseudogene 5",NA,NA
"20535",326310,"RPL7AP6","14","ribosomal protein L7a pseudogene 6",NA,NA
"20536",326311,"RPL9P6","14","ribosomal protein L9 pseudogene 6",NA,NA
"20537",326312,"RPS12P1","14","ribosomal protein S12 pseudogene 1",NA,NA
"20538",326315,"PTTG4P","14","pituitary tumor-transforming 4 pseudogene",NA,NA
"20539",326316,"RPS15AP2","14","ribosomal protein S15a pseudogene 2",NA,NA
"20540",326317,"RPS15AP3","14","ribosomal protein S15a pseudogene 3",NA,NA
"20541",326320,"RPS18P2","14","ribosomal protein S18 pseudogene 2",NA,NA
"20542",326321,"RPS24P2","14","ribosomal protein S24 pseudogene 2",NA,NA
"20543",326322,"RPS24P3","14","ribosomal protein S24 pseudogene 3",NA,NA
"20544",326323,"RPS27AP4","14","ribosomal protein S27a pseudogene 4",NA,NA
"20545",326325,"RPS2P2","14","ribosomal protein S2 pseudogene 2",NA,NA
"20546",326326,"RPS2P3","14","ribosomal protein S2 pseudogene 3",NA,NA
"20547",326337,"SSXP4","X","SSX family pseudogene 4",NA,NA
"20548",326339,"SSXP5","X","SSX family pseudogene 5",NA,NA
"20549",326340,"ZAR1","4","zygote arrest 1","Zar1","ENSG00000182223"
"20550",326341,"SSXP3","X","SSX family pseudogene 3",NA,NA
"20551",326342,"ADGRE4P","19","egf-like module containing, mucin-like, hormone receptor-like 4 pseudogene",NA,NA
"20552",326343,"MT1DP","16","metallothionein 1D, pseudogene (functional)",NA,NA
"20553",326585,"SSXP8","X","SSX family pseudogene 8",NA,NA
"20554",326586,"SSXP9","X","SSX family pseudogene 9",NA,NA
"20555",326587,"SSXP6","X","SSX family pseudogene 6",NA,NA
"20556",326590,"SSXP7","X","SSX family pseudogene 7",NA,NA
"20557",326591,"MORF4L1P1","1","mortality factor 4 like 1 pseudogene 1",NA,NA
"20558",326593,"MORF4L1P3","11","mortality factor 4 like 1 pseudogene 3",NA,NA
"20559",326594,"MORF4L1P2","12","mortality factor 4 like 1 pseudogene 2",NA,NA
"20560",326596,"MAD2L1P1","14","MAD2 mitotic arrest deficient-like 1 (yeast) pseudogene 1",NA,NA
"20561",326603,"MTCO1P2","14","MT-CO1 pseudogene 2",NA,NA
"20562",326605,"NCOA4P1","14","nuclear receptor coactivator 4 pseudogene 1",NA,NA
"20563",326606,"NDUFB8P1","14","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, pseudogene 1",NA,NA
"20564",326607,"NMNAT1P1","14","NMNAT1 pseudogene 1",NA,NA
"20565",326608,"NPM1P20","14","nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 20",NA,NA
"20566",326609,"NT5CP1","14","5'',3''-nucleotidase, cytosolic pseudogene 1",NA,NA
"20567",326611,"NT5CP2","14","5'',3''-nucleotidase, cytosolic pseudogene 2",NA,NA
"20568",326613,"NUTF2P2","14","nuclear transport factor 2 pseudogene 2",NA,NA
"20569",326614,"PEBP1P1","14","phosphatidylethanolamine binding protein 1 pseudogene 1",NA,NA
"20570",326615,"MED15P1","14","mediator complex subunit 15 pseudogene 1",NA,NA
"20571",326616,"PDLIM1P1","14","PDZ and LIM domain 1 pseudogene 1",NA,NA
"20572",326617,"PSMA3P","14","proteasome (prosome, macropain) subunit, alpha type, 3 pseudogene",NA,NA
"20573",326624,"RAB37","17","RAB37, member RAS oncogene family","Rab37","ENSG00000172794"
"20574",326625,"MMAB","12","methylmalonic aciduria (cobalamin deficiency) cblB type","Mmab","ENSG00000139428"
"20575",326626,"PTMAP7","14","prothymosin, alpha pseudogene 7",NA,NA
"20576",326627,"RANBP20P","14","RAN binding protein 20 pseudogene",NA,NA
"20577",326628,"RPA2P1","14","replication protein A2 pseudogene 1",NA,NA
"20578",327657,"SERPINA9","14","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9","Serpina9","ENSG00000170054"
"20579",327658,"HDHD1P1","Y","haloacid dehalogenase-like hydrolase domain containing 1 pseudogene 1",NA,NA
"20580",327659,"HDHD1P2","1","haloacid dehalogenase-like hydrolase domain containing 1 pseudogene 2",NA,NA
"20581",333926,"PPM1J","1","protein phosphatase, Mg2+/Mn2+ dependent, 1J","Ppm1j","ENSG00000155367"
"20582",333929,"SNAI3","16","snail family zinc finger 3","Snai3","ENSG00000185669"
"20583",333932,"HIST2H3A","1","histone cluster 2, H3a","Hist1h3f","ENSG00000203852"
"20584",337867,"UBAC2","13","UBA domain containing 2","Ubac2","ENSG00000134882"
"20585",337872,"HIST3H2BA","1","histone cluster 3, H2ba, pseudogene",NA,NA
"20586",337873,"HIST2H2BC","1","histone cluster 2, H2bc (pseudogene)",NA,NA
"20587",337874,"HIST2H2BD","1","histone cluster 2, H2bd (pseudogene)",NA,NA
"20588",337875,"HIST2H2BA","1","histone cluster 2, H2ba (pseudogene)",NA,NA
"20589",337876,"CHSY3","5","chondroitin sulfate synthase 3","Chsy3","ENSG00000198108"
"20590",337878,"KRTAP7-1","21","keratin associated protein 7-1 (gene/pseudogene)","Krtap7-1","ENSG00000274749"
"20591",337879,"KRTAP8-1","21","keratin associated protein 8-1",NA,"ENSG00000183640"
"20592",337880,"KRTAP11-1","21","keratin associated protein 11-1","Krtap11-1","ENSG00000182591"
"20593",337882,"KRTAP19-1","21","keratin associated protein 19-1",NA,"ENSG00000184351"
"20594",337959,"KRTAP13-2","21","keratin associated protein 13-2","2310034C09Rik;2310057N15Rik;Krtap13","ENSG00000182816"
"20595",337960,"KRTAP13-3","21","keratin associated protein 13-3",NA,"ENSG00000240432"
"20596",337963,"KRTAP23-1","21","keratin associated protein 23-1",NA,"ENSG00000186980"
"20597",337964,"KRTAP13-5P","21","keratin associated protein 13-5, pseudogene",NA,NA
"20598",337965,"KRTAP13-6P","21","keratin associated protein 13-6, pseudogene",NA,NA
"20599",337966,"KRTAP6-1","21","keratin associated protein 6-1",NA,"ENSG00000184724"
"20600",337967,"KRTAP6-2","21","keratin associated protein 6-2",NA,"ENSG00000186930"
"20601",337968,"KRTAP6-3","21","keratin associated protein 6-3",NA,"ENSG00000212938"
"20602",337969,"KRTAP19-2","21","keratin associated protein 19-2",NA,"ENSG00000186965"
"20603",337970,"KRTAP19-3","21","keratin associated protein 19-3",NA,"ENSG00000244025"
"20604",337971,"KRTAP19-4","21","keratin associated protein 19-4",NA,"ENSG00000186967"
"20605",337972,"KRTAP19-5","21","keratin associated protein 19-5",NA,"ENSG00000186977"
"20606",337973,"KRTAP19-6","21","keratin associated protein 19-6",NA,"ENSG00000186925"
"20607",337974,"KRTAP19-7","21","keratin associated protein 19-7",NA,"ENSG00000244362"
"20608",337975,"KRTAP20-1","21","keratin associated protein 20-1",NA,"ENSG00000244624"
"20609",337976,"KRTAP20-2","21","keratin associated protein 20-2",NA,"ENSG00000184032"
"20610",337977,"KRTAP21-1","21","keratin associated protein 21-1",NA,"ENSG00000187005"
"20611",337978,"KRTAP21-2","21","keratin associated protein 21-2",NA,"ENSG00000187026"
"20612",337979,"KRTAP22-1","21","keratin associated protein 22-1",NA,"ENSG00000186924"
"20613",337980,"KRTAP8-2P","21","keratin associated protein 8-2, pseudogene",NA,NA
"20614",337981,"KRTAP8-3P","21","keratin associated protein 8-3, pseudogene",NA,NA
"20615",337982,"KRTAP19-9P","21","keratin associated protein 19-9, pseudogene",NA,NA
"20616",337983,"KRTAP19-10P","21","keratin associated protein 19-10, pseudogene",NA,NA
"20617",337984,"KRTAP19-11P","21","keratin associated protein 19-11, pseudogene",NA,NA
"20618",337985,"KRTAP20-3","21","keratin associated protein 20-3",NA,"ENSG00000206104"
"20619",337986,"KRTAP21-4P","21","keratin associated protein 21-4, pseudogene",NA,NA
"20620",338002,"LINC00524","14","long intergenic non-protein coding RNA 524",NA,NA
"20621",338004,"LINC00226","14","long intergenic non-protein coding RNA 226",NA,NA
"20622",338005,"LINC00221","14","long intergenic non-protein coding RNA 221",NA,NA
"20623",338017,"KRT8P1","14","keratin 8 pseudogene 1",NA,NA
"20624",338069,"ST7-OT4","7","ST7 overlapping transcript 4",NA,NA
"20625",338091,"PSMD10P3","13","proteasome 26S subunit, non-ATPase, 10 pseudogene 3",NA,NA
"20626",338094,"FAM151A","1","family with sequence similarity 151, member A","Fam151a","ENSG00000162391"
"20627",338095,"PSME2P3","4","proteasome activator subunit 2 pseudogene 3",NA,NA
"20628",338096,"PSME2P4","4","proteasome activator subunit 2 pseudogene 4",NA,NA
"20629",338097,"PSME2P5","8","proteasome activator subunit 2 pseudogene 5",NA,NA
"20630",338098,"PSME2P6","10","proteasome activator subunit 2 pseudogene 6",NA,NA
"20631",338099,"PSME2P2","13","proteasome activator subunit 2 pseudogene 2",NA,NA
"20632",338321,"NLRP9","19","NLR family, pyrin domain containing 9","Nlrp9b","ENSG00000185792"
"20633",338322,"NLRP10","11","NLR family, pyrin domain containing 10","Nlrp10","ENSG00000276780, ENSG00000182261, ENSG00000281166"
"20634",338323,"NLRP14","11","NLR family, pyrin domain containing 14","Nlrp14","ENSG00000158077"
"20635",338324,"S100A7A","1","S100 calcium binding protein A7A",NA,"ENSG00000184330"
"20636",338328,"GPIHBP1","8","glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1",NA,"ENSG00000277494"
"20637",338339,"CLEC4D","12","C-type lectin domain family 4, member D","Clec4d","ENSG00000166527"
"20638",338376,"IFNE","9","interferon, epsilon","Ifne","ENSG00000184995"
"20639",338382,"RAB7B","1","RAB7B, member RAS oncogene family","5430435G22Rik","ENSG00000276600"
"20640",338388,"MRPS16P3","22","mitochondrial ribosomal protein S16 pseudogene 3",NA,NA
"20641",338389,"MRPS24P1","11","mitochondrial ribosomal protein S24 pseudogene 1",NA,NA
"20642",338390,"MRPS25P1","4","mitochondrial ribosomal protein S25 pseudogene 1",NA,NA
"20643",338391,"HIST2H2BB","1","histone cluster 2, H2bb (pseudogene)",NA,NA
"20644",338396,"TAS2R2P","7","taste receptor, type 2, member 2, pseudogene",NA,NA
"20645",338398,"TAS2R60","7","taste receptor, type 2, member 60","Tas2r135","ENSG00000185899, ENSG00000285341"
"20646",338399,"TAS2R62P","7","taste receptor, type 2, member 62, pseudogene",NA,NA
"20647",338412,"TAS2R64P","12","taste receptor, type 2, member 64, pseudogene",NA,NA
"20648",338413,"TAS2R63P","12","taste receptor, type 2, member 63, pseudogene",NA,NA
"20649",338414,"TAS2R18P","12","taste receptor, type 2, member 18, pseudogene",NA,NA
"20650",338427,"SNORD108","15","small nucleolar RNA, C/D box 108",NA,NA
"20651",338428,"SNORD109A","15","small nucleolar RNA, C/D box 109A",NA,NA
"20652",338429,"SNORD109B","15","small nucleolar RNA, C/D box 109B",NA,NA
"20653",338433,"SNORD115-1","15","small nucleolar RNA, C/D box 115-1",NA,NA
"20654",338436,"BLACE","7","B-cell acute lymphoblastic leukemia expressed",NA,NA
"20655",338440,"ANO9","11","anoctamin 9","Ano9","ENSG00000185101"
"20656",338442,"HCAR2","12","hydroxycarboxylic acid receptor 2",NA,"ENSG00000182782"
"20657",338448,"GTF2IP2","21","general transcription factor IIi, pseudogene 2",NA,NA
"20658",338470,"MESTP1","6","mesoderm specific transcript pseudogene 1",NA,NA
"20659",338557,"FFAR4","10","free fatty acid receptor 4","Ffar4","ENSG00000186188"
"20660",338567,"KCNK18","10","potassium channel, two pore domain subfamily K, member 18","Kcnk18","ENSG00000186795"
"20661",338579,"ANKRD30BP3","10","ankyrin repeat domain 30B pseudogene 3",NA,NA
"20662",338588,"LINC00705","10","long intergenic non-protein coding RNA 705",NA,NA
"20663",338591,"CHCHD3P1","10","coiled-coil-helix-coiled-coil-helix domain containing 3 pseudogene 1",NA,NA
"20664",338596,"ST8SIA6","10","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6","St8sia6","ENSG00000148488"
"20665",338599,"DUPD1","10","dual specificity phosphatase and pro isomerase domain containing 1","Dupd1","ENSG00000188716, ENSG00000281660"
"20666",338611,"RPS26P40","10","ribosomal protein S26 pseudogene 40",NA,NA
"20667",338637,"OR52M2P","11","olfactory receptor, family 52, subfamily M, member 2 pseudogene",NA,NA
"20668",338645,"LUZP2","11","leucine zipper protein 2","Luzp2","ENSG00000187398"
"20669",338651,"KRTAP5-AS1","11","KRTAP5-1/KRTAP5-2 antisense RNA 1",NA,NA
"20670",338653,"KCNQ1-AS1","11","KCNQ1 antisense RNA 1",NA,NA
"20671",338657,"CCDC84","11","coiled-coil domain containing 84","Ccdc84","ENSG00000186166, ENSG00000280975"
"20672",338661,"TMEM225","11","transmembrane protein 225","Tmem225","ENSG00000204300"
"20673",338662,"OR8D4","11","olfactory receptor, family 8, subfamily D, member 4","Olfr985","ENSG00000181518"
"20674",338667,"LOC338667","11","V-set and immunoglobulin domain-containing protein 10-like",NA,"ENSG00000283703"
"20675",338674,"OR5F1","11","olfactory receptor, family 5, subfamily F, member 1",NA,"ENSG00000149133"
"20676",338675,"OR5AP2","11","olfactory receptor, family 5, subfamily AP, member 2","Olfr1020","ENSG00000172464"
"20677",338692,"ANKRD13D","11","ankyrin repeat domain 13 family, member D","Ankrd13d","ENSG00000172932"
"20678",338694,"LOC338694","11","uncharacterized LOC338694",NA,NA
"20679",338699,"ANKRD42","11","ankyrin repeat domain 42","Ankrd42","ENSG00000137494"
"20680",338707,"B4GALNT4","11","beta-1,4-N-acetyl-galactosaminyl transferase 4","B4galnt4","ENSG00000182272"
"20681",338739,"CSTF3-AS1","11","CSTF3 antisense RNA 1 (head to head)",NA,NA
"20682",338751,"OR52L1","11","olfactory receptor, family 52, subfamily L, member 1","Olfr685","ENSG00000183313"
"20683",338755,"OR2AG2","11","olfactory receptor, family 2, subfamily AG, member 2","Olfr701","ENSG00000188124"
"20684",338758,"LINC00936","12","long intergenic non-protein coding RNA 936",NA,NA
"20685",338761,"C1QL4","12","complement component 1, q subcomponent-like 4","C1ql4","ENSG00000186897"
"20686",338773,"TMEM119","12","transmembrane protein 119","Tmem119","ENSG00000183160"
"20687",338785,"KRT79","12","keratin 79, type II","Krt79","ENSG00000185640"
"20688",338797,"LOC338797","12","uncharacterized LOC338797",NA,NA
"20689",338799,"LINC01089","12","long intergenic non-protein coding RNA 1089",NA,NA
"20690",338805,"ST13P8","12","suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 8",NA,NA
"20691",338809,"C12orf74","12","chromosome 12 open reading frame 74",NA,"ENSG00000187510"
"20692",338811,"FAM19A2","12","family with sequence similarity 19 (chemokine (C-C motif)-like), member A2","Fam19a2","ENSG00000198673"
"20693",338817,"LINC01252","12","long intergenic non-protein coding RNA 1252",NA,NA
"20694",338821,"SLCO1B7","12","solute carrier organic anion transporter family, member 1B7 (non-functional)",NA,"ENSG00000257046"
"20695",338862,"LINC00550","13","long intergenic non-protein coding RNA 550",NA,NA
"20696",338864,"LINC00347","13","long intergenic non-protein coding RNA 347",NA,NA
"20697",338870,"RPS12P23","13","ribosomal protein S12 pseudogene 23",NA,NA
"20698",338872,"C1QTNF9","13","C1q and tumor necrosis factor related protein 9",NA,"ENSG00000240654"
"20699",338879,"RNASE10","14","ribonuclease, RNase A family, 10 (non-active)","Rnase10","ENSG00000182545"
"20700",338917,"VSX2","14","visual system homeobox 2","Vsx2","ENSG00000119614"
"20701",338949,"TMEM202","15","transmembrane protein 202","Tmem202","ENSG00000187806"
"20702",338963,"LOC338963","15","epididymal protein pseudogene",NA,NA
"20703",339005,"WHAMMP3","15","WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 3",NA,NA
"20704",339039,"PKD1P3","16","polycystic kidney disease 1 (autosomal dominant) pseudogene 3",NA,NA
"20705",339044,"PKD1P1","16","polycystic kidney disease 1 (autosomal dominant) pseudogene 1",NA,NA
"20706",339059,"LOC339059","16","uncharacterized LOC339059",NA,NA
"20707",339105,"PRSS53","16","protease, serine, 53","Prss53","ENSG00000151006"
"20708",339122,"RAB43","3","RAB43, member RAS oncogene family","Rab43","ENSG00000172780"
"20709",339123,"JMJD8","16","jumonji domain containing 8","Jmjd8","ENSG00000161999"
"20710",339145,"FAM92B","16","family with sequence similarity 92, member B","Fam92b","ENSG00000153789"
"20711",339166,"LOC339166","17","uncharacterized LOC339166",NA,NA
"20712",339168,"TMEM95","17","transmembrane protein 95","Tmem95","ENSG00000182896, ENSG00000288511"
"20713",339175,"METTL2A","17","methyltransferase like 2A","Mettl2","ENSG00000087995"
"20714",339184,"CCDC144NL","17","coiled-coil domain containing 144 family, N-terminal like",NA,NA
"20715",339186,"KRT17P4","17","keratin 17 pseudogene 4",NA,NA
"20716",339192,"LOC339192","17","uncharacterized LOC339192",NA,NA
"20717",339201,"ASB16-AS1","17","ASB16 antisense RNA 1",NA,NA
"20718",339210,"C17orf67","17","chromosome 17 open reading frame 67","Gm525","ENSG00000214226"
"20719",339221,"ENPP7","17","ectonucleotide pyrophosphatase/phosphodiesterase 7","Enpp7","ENSG00000182156"
"20720",339229,"OXLD1","17","oxidoreductase-like domain containing 1","Oxld1","ENSG00000204237"
"20721",339230,"CCDC137","17","coiled-coil domain containing 137","Ccdc137","ENSG00000185298"
"20722",339231,"ARL16","17","ADP-ribosylation factor-like 16","Arl16","ENSG00000214087"
"20723",339240,"KRT17P5","17","keratin 17 pseudogene 5",NA,NA
"20724",339241,"KRT17P2","17","keratin 17 pseudogene 2",NA,NA
"20725",339244,"KRT16P4","17","keratin 16 pseudogene 4",NA,NA
"20726",339256,"NOS2P3","17","nitric oxide synthase 2 pseudogene 3",NA,NA
"20727",339257,"TNPO1P3","17","transportin 1 pseudogene 3",NA,NA
"20728",339258,"KRT17P7","17","keratin 17 pseudogene 7",NA,NA
"20729",339260,"LOC339260","17","uncharacterized LOC339260",NA,NA
"20730",339263,"C17orf51","17","chromosome 17 open reading frame 51",NA,NA
"20731",339287,"MSL1","17","male-specific lethal 1 homolog (Drosophila)","Msl1","ENSG00000188895"
"20732",339290,"LINC00667","18","long intergenic non-protein coding RNA 667",NA,NA
"20733",339291,"LRRC30","18","leucine rich repeat containing 30","Lrrc30","ENSG00000206422"
"20734",339298,"LOC339298","18","uncharacterized LOC339298",NA,NA
"20735",339302,"CPLX4","18","complexin 4","Cplx4","ENSG00000166569"
"20736",339318,"ZNF181","19","zinc finger protein 181",NA,"ENSG00000197841"
"20737",339324,"ZNF260","19","zinc finger protein 260","Zfp260","ENSG00000254004"
"20738",339327,"ZNF546","19","zinc finger protein 546","Zfp11","ENSG00000187187, ENSG00000281526"
"20739",339344,"MYPOP","19","Myb-related transcription factor, partner of profilin","Mypop","ENSG00000176182"
"20740",339345,"NANOS2","19","nanos homolog 2 (Drosophila)","Nanos2","ENSG00000188425"
"20741",339352,"LOC339352","19","cytosolic thiouridylase subunit 1 homolog (S. pombe) pseudogene",NA,NA
"20742",339366,"ADAMTSL5","19","ADAMTS-like 5","Adamtsl5","ENSG00000185761"
"20743",339390,"CLEC4G","19","C-type lectin domain family 4, member G","Clec4g","ENSG00000182566"
"20744",339396,"NEFHP1","1","neurofilament, heavy polypeptide pseudogene 1",NA,NA
"20745",339398,"LINGO4","1","leucine rich repeat and Ig domain containing 4","Lingo4","ENSG00000213171"
"20746",339400,"FLG-AS1","1","FLG antisense RNA 1",NA,NA
"20747",339403,"RXFP4","1","relaxin/insulin-like family peptide receptor 4","Rxfp4","ENSG00000173080"
"20748",339416,"ANKRD45","1","ankyrin repeat domain 45","Ankrd45","ENSG00000183831"
"20749",339442,"LINC01343","1","long intergenic non-protein coding RNA 1343",NA,NA
"20750",339448,"C1orf174","1","chromosome 1 open reading frame 174","A430005L14Rik","ENSG00000198912"
"20751",339451,"KLHL17","1","kelch-like family member 17","Klhl17","ENSG00000187961"
"20752",339453,"TMEM240","1","transmembrane protein 240","Tmem240","ENSG00000205090"
"20753",339456,"TMEM52","1","transmembrane protein 52","Tmem52","ENSG00000178821"
"20754",339468,"LOC339468","1","uncharacterized LOC339468",NA,NA
"20755",339479,"BRINP3","1","bone morphogenetic protein/retinoic acid inducible neural-specific 3","Brinp3","ENSG00000162670"
"20756",339483,"MTMR9LP","1","myotubularin related protein 9-like, pseudogene",NA,NA
"20757",339487,"ZBTB8OS","1","zinc finger and BTB domain containing 8 opposite strand","Zbtb8os","ENSG00000176261"
"20758",339488,"TFAP2E","1","transcription factor AP-2 epsilon (activating enhancer binding protein 2 epsilon)","Tfap2e","ENSG00000116819"
"20759",339500,"ZNF678","1","zinc finger protein 678",NA,"ENSG00000181450"
"20760",339501,"PRSS38","1","protease, serine, 38","Prss38","ENSG00000185888"
"20761",339505,"LINC01141","1","long intergenic non-protein coding RNA 1141",NA,NA
"20762",339512,"C1orf110","1","chromosome 1 open reading frame 110","1700084C01Rik","ENSG00000185860"
"20763",339521,"FAM58BP","1","family with sequence similarity 58, member B, pseudogene",NA,NA
"20764",339524,"LINC01140","1","long intergenic non-protein coding RNA 1140",NA,NA
"20765",339529,"LOC339529","1","uncharacterized LOC339529",NA,NA
"20766",339535,"LINC01139","1","long intergenic non-protein coding RNA 1139",NA,NA
"20767",339539,"LOC339539","1","uncharacterized LOC339539",NA,NA
"20768",339541,"C1orf228","1","chromosome 1 open reading frame 228","Gm1661","ENSG00000198520"
"20769",339559,"ZFP69","1","ZFP69 zinc finger protein","Zfp69","ENSG00000187815"
"20770",339562,"IGKV1OR2-118","2","immunoglobulin kappa variable 1/OR2-118 (pseudogene)",NA,NA
"20771",339568,"LOC339568","20","uncharacterized LOC339568",NA,NA
"20772",339593,"LOC339593","20","uncharacterized LOC339593",NA,NA
"20773",339622,"LOC339622","21","uncharacterized LOC339622",NA,NA
"20774",339665,"SLC35E4","22","solute carrier family 35, member E4","Slc35e4","ENSG00000100036"
"20775",339666,"LOC339666","22","uncharacterized LOC339666",NA,NA
"20776",339669,"TEX33","22","testis expressed 33","Tex33","ENSG00000185264"
"20777",339674,"LINC00634","22","long intergenic non-protein coding RNA 634",NA,NA
"20778",339685,"LOC339685","22","uncharacterized LOC339685",NA,NA
"20779",339736,"AK2P2","2","adenylate kinase 2 pseudogene 2",NA,NA
"20780",339742,"FAM201B","2","family with sequence similarity 201, member B",NA,NA
"20781",339745,"SPOPL","2","speckle-type POZ protein-like","Spopl","ENSG00000144228"
"20782",339751,"MLK7-AS1","2","MLK7 antisense RNA 1",NA,NA
"20783",339761,"CYP27C1","2","cytochrome P450, family 27, subfamily C, polypeptide 1",NA,"ENSG00000186684"
"20784",339766,"MROH2A","2","maestro heat-like repeat family member 2A","Mroh2a","ENSG00000185038"
"20785",339768,"ESPNL","2","espin-like","Espnl","ENSG00000144488"
"20786",339778,"C2orf70","2","chromosome 2 open reading frame 70","1700001C02Rik","ENSG00000173557"
"20787",339779,"PRR30","2","proline rich 30",NA,"ENSG00000186143"
"20788",339781,"KRT18P19","2","keratin 18 pseudogene 19",NA,NA
"20789",339788,"LINC00298","2","long intergenic non-protein coding RNA 298",NA,NA
"20790",339789,"LINC00299","2","long intergenic non-protein coding RNA 299",NA,NA
"20791",339799,"EIF3FP3","2","eukaryotic translation initiation factor 3, subunit F pseudogene 3",NA,NA
"20792",339803,"LOC339803","2","uncharacterized LOC339803",NA,NA
"20793",339804,"C2orf74","2","chromosome 2 open reading frame 74","1700093K21Rik","ENSG00000237651"
"20794",339807,"LOC339807","2","uncharacterized LOC339807",NA,NA
"20795",339822,"LINC01115","2","long intergenic non-protein coding RNA 1115",NA,NA
"20796",339829,"CCDC39","3","coiled-coil domain containing 39","Ccdc39","ENSG00000284862"
"20797",339834,"CCDC36","3","coiled-coil domain containing 36","Ccdc36","ENSG00000173421"
"20798",339843,"WWP1P1","3","WW domain containing E3 ubiquitin protein ligase 1 pseudogene 1",NA,NA
"20799",339845,"ASS1P7","3","argininosuccinate synthetase 1 pseudogene 7",NA,NA
"20800",339855,"KY","3","kyphoscoliosis peptidase","Ky","ENSG00000174611"
"20801",339862,"LOC339862","3","uncharacterized LOC339862",NA,NA
"20802",339874,"LOC339874","3","uncharacterized LOC339874",NA,NA
"20803",339879,"ALG1L6P","3","asparagine-linked glycosylation 1-like 6, pseudogene",NA,NA
"20804",339881,"EIF4BP8","3","eukaryotic translation initiation factor 4B pseudogene 8",NA,NA
"20805",339883,"C3orf35","3","chromosome 3 open reading frame 35",NA,"ENSG00000198590"
"20806",339894,"LINC00880","3","long intergenic non-protein coding RNA 880",NA,NA
"20807",339896,"GADL1","3","glutamate decarboxylase-like 1","Gadl1","ENSG00000144644"
"20808",339897,"CNN2P6","3","calponin 2 pseudogene 6",NA,NA
"20809",339902,"LOC339902","3","hCG1813818",NA,NA
"20810",339906,"PRSS42","3","protease, serine, 42","Prss42",NA
"20811",339910,"MRPS35P1","3","mitochondrial ribosomal protein S35 pseudogene 1",NA,NA
"20812",339926,"EHHADH-AS1","3","EHHADH antisense RNA 1",NA,NA
"20813",339929,"LPP-AS2","3","LPP antisense RNA 2",NA,NA
